Unidade;Item;Quantidade
Anil/BequimãO;CANETA AZUL;10
Anil/BequimãO;EVA PRETO;10
Anil/BequimãO;CORRETIVO;6
Anil/BequimãO;BORRACHA;5
Anil/BequimãO;MARCA-TEXTO;5
Anil/BequimãO;POST-IT PEQUENO;5
Anil/BequimãO;REGUA;5
Anil/BequimãO;CLIPS Nº 8/0;2
Anil/BequimãO;CLIPS GRANDE;1
Anil/BequimãO;COLA;1
Anil/BequimãO;COLA BRANCA;1
Anil/BequimãO;GRAMPOS PEQUENO;1
Centro/Alemanha;CANETA AZUL;10
Centro/Alemanha;MARCADOR DE TEXTO;9
Centro/Alemanha;FITA GOMADA/ADESIVA;2
Centro/Alemanha;PAPEL A4;1
Centro/Alemanha;RESMA DE PAPEL A4;1
Cidade OperáRia/Cidade OlíMpica;CANETA AZUL;10
Cidade OperáRia/Cidade OlíMpica;CANETA PRETA;10
Cidade OperáRia/Cidade OlíMpica;MARCADOR DE TEXTO VARIADO;10
Cidade OperáRia/Cidade OlíMpica;CANETA AZUL E PRETA;8
Cidade OperáRia/Cidade OlíMpica;RESMA DE PAPEL A4;6
Cidade OperáRia/Cidade OlíMpica;POST-IT;5
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 8/0;4
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 3/0;3
Cidade OperáRia/Cidade OlíMpica;FITA DUREX;3
Cidade OperáRia/Cidade OlíMpica;PAPEL CARTAO VARIADO;3
Cidade OperáRia/Cidade OlíMpica;PAPEL CREPOM VARIADO;3
Cidade OperáRia/Cidade OlíMpica;BLOCO DE NOTAS;2
Cidade OperáRia/Cidade OlíMpica;EVA COR LARANJA;2
Cidade OperáRia/Cidade OlíMpica;EVA COR ROSO;2
Cidade OperáRia/Cidade OlíMpica;GRAMPO PARA GRAMPEADOR;2
Cidade OperáRia/Cidade OlíMpica;PASTA SANFONADA;2
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 4/0;1
Cidade OperáRia/Cidade OlíMpica;CLIPS Nº 6/0;1
Cidade OperáRia/Cidade OlíMpica;GRAMPEADOR PEQUENO;1
Cidade OperáRia/Cidade OlíMpica;RESMA PAPEL A4;1
CMAS;ENVELOPE A4;10
CMAS;LAPIS;10
