Conselho Tutelar;Item;Quantidade;Data (AAAA-MM-DD);Data (DD/MM/AAAA);Período;Mês;Arquivo
Anil/Bequimão;BORRACHA;5;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT ANIL 11 (3).xlsx
Anil/Bequimão;CANETA AZUL;10;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT ANIL 11 (3).xlsx
Anil/Bequimão;CLIPS GRANDE;1;2026-04-29;29/04/2026;29/04 a 29/04/2026;2026-04;CT ANIL 29.xlsx
Anil/Bequimão;CLIPS Nº 8/0;2;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT ANIL 11 (3).xlsx
Anil/Bequimão;COLA;1;2026-04-29;29/04/2026;29/04 a 29/04/2026;2026-04;CT ANIL 29.xlsx
Anil/Bequimão;COLA BRANCA;1;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT ANIL 11 (3).xlsx
Anil/Bequimão;CORRETIVO;2;2026-05-06;06/05/2026;06/05 a 06/05/2026;2026-05;CT ANIL 06.xlsx
Anil/Bequimão;CORRETIVO;2;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT ANIL 11 (3).xlsx
Anil/Bequimão;CORRETIVO;2;2026-05-27;27/05/2026;27/05 a 27/05/2026;2026-05;CT ANIL 27.xlsx
Anil/Bequimão;EVA PRETO;10;2026-06-10;10/06/2026;10/06 a 10/06/2026;2026-06;CT ANIL 11 de junho de 2026.ods
Anil/Bequimão;GRAMPOS PEQUENO;1;2026-04-29;29/04/2026;29/04 a 29/04/2026;2026-04;CT ANIL 29.xlsx
Anil/Bequimão;MARCA-TEXTO;5;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT ANIL 11 (3).xlsx
Anil/Bequimão;POST-IT PEQUENO;1;2026-05-06;06/05/2026;06/05 a 06/05/2026;2026-05;CT ANIL 06.xlsx
Anil/Bequimão;POST-IT PEQUENO;2;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT ANIL 11 (3).xlsx
Anil/Bequimão;POST-IT PEQUENO;2;2026-06-08;08/06/2026;08/06 a 08/06/2026;2026-06;CT ANIL 03.xlsx
Anil/Bequimão;REGUA;4;2026-05-12;12/05/2026;12/05 a 12/05/2026;2026-05;CT ANIL 11 (3).xlsx
