Unidade;Item;Quantidade;Data Início;Data Fim;Período;Mês;Origem;Arquivo/Referência
Anil/BequimãO;BORRACHA;5;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT ANIL 11 (3).xlsx
Anil/BequimãO;CANETA AZUL;10;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT ANIL 11 (3).xlsx
Anil/BequimãO;CLIPS GRANDE;1;2026-04-29;2026-04-29;29/04 a 29/04/2026;2026-04;Histórico/Planilha;CT ANIL 29.xlsx
Anil/BequimãO;CLIPS Nº 8/0;2;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT ANIL 11 (3).xlsx
Anil/BequimãO;COLA;1;2026-04-29;2026-04-29;29/04 a 29/04/2026;2026-04;Histórico/Planilha;CT ANIL 29.xlsx
Anil/BequimãO;COLA BRANCA;1;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT ANIL 11 (3).xlsx
Anil/BequimãO;CORRETIVO;2;2026-05-06;2026-05-06;06/05 a 06/05/2026;2026-05;Histórico/Planilha;CT ANIL 06.xlsx
Anil/BequimãO;CORRETIVO;2;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT ANIL 11 (3).xlsx
Anil/BequimãO;CORRETIVO;2;2026-05-27;2026-05-27;27/05 a 27/05/2026;2026-05;Histórico/Planilha;CT ANIL 27.xlsx
Anil/BequimãO;EVA PRETO;10;2026-06-10;2026-06-10;10/06 a 10/06/2026;2026-06;Histórico/Planilha;CT ANIL 11 de junho de 2026.ods
Anil/BequimãO;GRAMPOS PEQUENO;1;2026-04-29;2026-04-29;29/04 a 29/04/2026;2026-04;Histórico/Planilha;CT ANIL 29.xlsx
Anil/BequimãO;MARCA-TEXTO;5;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT ANIL 11 (3).xlsx
Anil/BequimãO;POST-IT PEQUENO;1;2026-05-06;2026-05-06;06/05 a 06/05/2026;2026-05;Histórico/Planilha;CT ANIL 06.xlsx
Anil/BequimãO;POST-IT PEQUENO;2;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT ANIL 11 (3).xlsx
Anil/BequimãO;POST-IT PEQUENO;2;2026-06-08;2026-06-08;08/06 a 08/06/2026;2026-06;Histórico/Planilha;CT ANIL 03.xlsx
Anil/BequimãO;REGUA;4;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT ANIL 11 (3).xlsx
Anil/BequimãO;REGUA;1;2026-06-17;2026-06-17;17/06 a 17/06/2026;2026-06;Histórico/Planilha;CT ANIL 17.xlsx
Centro/Alemanha;CANETA AZUL;5;2026-04-14;2026-04-14;14/04 a 14/04/2026;2026-04;Histórico/Planilha;CT CENTRO (2).xlsx
Centro/Alemanha;CANETA AZUL;5;2026-06-17;2026-06-17;17/06 a 17/06/2026;2026-06;Histórico/Planilha;CT CENTRO (4).xlsx
Centro/Alemanha;FITA GOMADA/ADESIVA;1;2026-04-14;2026-04-14;14/04 a 14/04/2026;2026-04;Histórico/Planilha;CT CENTRO (2).xlsx
Centro/Alemanha;FITA GOMADA/ADESIVA;1;2026-06-17;2026-06-17;17/06 a 17/06/2026;2026-06;Histórico/Planilha;CT CENTRO (4).xlsx
Centro/Alemanha;MARCADOR DE TEXTO;4;2026-04-14;2026-04-14;14/04 a 14/04/2026;2026-04;Histórico/Planilha;CT CENTRO (2).xlsx
Centro/Alemanha;MARCADOR DE TEXTO;5;2026-06-17;2026-06-17;17/06 a 17/06/2026;2026-06;Histórico/Planilha;CT CENTRO (4).xlsx
Centro/Alemanha;PAPEL A4;1;2026-04-14;2026-04-14;14/04 a 14/04/2026;2026-04;Histórico/Planilha;CT CENTRO (2).xlsx
Centro/Alemanha;RESMA DE PAPEL A4;1;2026-06-17;2026-06-17;17/06 a 17/06/2026;2026-06;Histórico/Planilha;CT CENTRO (4).xlsx
Cidade OperáRia/Cidade OlíMpica;BLOCO DE NOTAS;2;2026-04-13;2026-04-13;13/04 a 13/04/2026;2026-04;Histórico/Planilha;CT CIDADE OPERÁRIA .xlsx
Cidade OperáRia/Cidade OlíMpica;CANETA AZUL;5;2026-05-12;2026-05-12;12/05 a 12/05/2026;2026-05;Histórico/Planilha;CT OPERARIA .ods
