Conselho Tutelar;Total Itens Entregues;Qtd Registros;Principais Itens
Anil/BequimãO;41;10;CANETA AZUL (10) | CORRETIVO (6) | POST-IT PEQUENO (5) | MARCA-TEXTO (5) | BORRACHA (5) | RÉGUA (4) | CLIPS Nº 8/0 (2) | COLA BRANCA (1)
Centro/Alemanha;12;3;CANETA AZUL (5) | MARCADOR DE TEXTO (5) | RESMA DE PAPEL A4 (1) | FITA GOMADA/ADESIVA (1)
Cidade OperáRia/Cidade OlíMpica;79;6;Marcador de texto variado (10) | CANETA AZUL (10) | CANETA PRETA (10) | Caneta Azul e preta (8) | RESMA DE PAPEL A4 (6) | POST-IT (5) | CLIPS Nº 8/0 (4) | CLIPS Nº 3/0 (3)
Cohab/Cohatrac;85;9;CANETA AZUL (18) | CANETA PRETA (18) | RESMA DE PAPEL A4 (8) | ESCARCELA (7) | MARCADOR DE TEXTO (7) | CORRETIVO (6) | CANETA AZUL E PRETA (5) | CLIPS Nº 8/0 (4)
CONSELHO TUTELAR;4;2;RESMA DE PAPEL A4 (1) | CLIPS Nº 2/0 (1) | CLIPS Nº 4/0 (1) | CLIPS Nº 8/0 (1)
Coroadinho/JoãO Paulo;78;16;CANETA (12) | MARCA-TEXTO (12) | Lápis de cera (7) | RESMA DE PAPEL A4 (6) | Escarcela de plástico fina (6) | EVA(azul,amarelo,verde,vermelho, laranja,rosa ) (5) | Caneta (5) | Canetas (5)
CT ANIL BEQUIMÃO;11;4;EVA PRETO (10) | RÉGUA (1)
CT CENTRO;11;2;CANETA AZUL (5) | MARCADOR DE TEXTO (4) | PAPEL A4 (1) | FITA GOMADA/ADESIVA (1)
CT ITAQUIBACANGA;55;4;ENVELOPE (15) | CANETA AZUL (10) | CANETA MARCADORA (6) | CANETA PRETA (5) | BORRACHA (5) | RESMA DE PAPEL A4 (2) | CORRETIVO (2) | FITA GOMADA (2)
Ct Zona Rural;0;0;
Itaqui-Bacanga;103;8;ENVELOPE (30) | CANETA AZUL (15) | BORRACHA (12) | CORRETIVO (10) | CANETA MARCADORA (7) | CANETA PRETA (5) | TESOURA (4) | COLA BRANCA (3)
SãO CristóVãO/SãO Raimundo;27;3;E.V.A VÁRIA COR (8) | CANETA azul (6) | CANETA AZUL (5) | RESMA DE PAPEL A4 (3) | MARCADOR DE TEXTO (2) | E.V.A VÁRIA CORE (2) | FITA GOMADA (1)
SãO Francisco/Cohama;157;22;ENVELOPE A4 (60) | CANETA AZUL (15) | LÁPIS (15) | RESMA DE PAPEL A4 (10) | ENVELOPES A4 (10) | ESCARCELA (8) | MARCADOR PARA QUADRO BRANCO (6) | CLIPS Nº 2/0 (5)
Vila LuizãO/Turu;0;0;
